GeographyKey;CustomerAlternateKey
3;AW00021000
24;AW00021001
11;AW00021002
222;AW00021003
224;AW00021004
219;AW00021005
131;AW00021006
160;AW00021007
176;AW00021008
176;AW00021009
177;AW00021010
253;AW00021011
234;AW00021012
186;AW00021013
211;AW00021014
149;AW00021015
164;AW00021016
197;AW00021017
232;AW00021018
206;AW00021019
264;AW00021020
201;AW00021021
219;AW00021022
274;AW00021023
203;AW00021024
271;AW00021025
247;AW00021026
236;AW00021027
235;AW00021028
175;AW00021029
195;AW00021030
188;AW00021031
132;AW00021032
182;AW00021033
241;AW00021034
115;AW00021035
265;AW00021036
160;AW00021037
197;AW00021038
235;AW00021039
270;AW00021040
200;AW00021041
135;AW00021042
140;AW00021043
268;AW00021044
189;AW00021045
256;AW00021046
173;AW00021047
183;AW00021048
265;AW00021049
204;AW00021050
121;AW00021051
121;AW00021052
262;AW00021053
190;AW00021054
120;AW00021055
239;AW00021056
155;AW00021057
213;AW00021058
190;AW00021059
261;AW00021060
198;AW00021061
224;AW00021062
188;AW00021063
210;AW00021064
175;AW00021065
274;AW00021066
242;AW00021067
234;AW00021068
262;AW00021069
211;AW00021070
260;AW00021071
188;AW00021072
120;AW00021073
263;AW00021074
175;AW00021075
115;AW00021076
221;AW00021077
184;AW00021078
275;AW00021079
209;AW00021080
196;AW00021081
131;AW00021082
260;AW00021083
217;AW00021084
174;AW00021085
121;AW00021086
121;AW00021087
198;AW00021088
218;AW00021089
190;AW00021090
147;AW00021091
238;AW00021092
248;AW00021093
207;AW00021094
195;AW00021095
115;AW00021096
124;AW00021097
191;AW00021098
212;AW00021099
170;AW00021100
268;AW00021101
177;AW00021102
236;AW00021103
269;AW00021104
279;AW00021105
244;AW00021106
165;AW00021107
134;AW00021108
176;AW00021109
249;AW00021110
250;AW00021111
192;AW00021112
200;AW00021113
117;AW00021114
119;AW00021115
231;AW00021116
182;AW00021117
241;AW00021118
207;AW00021119
133;AW00021120
184;AW00021121
190;AW00021122
214;AW00021123
266;AW00021124
