crm_cd	crm_cd_desc
231	ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
230	"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
623	BATTERY POLICE (SIMPLE)
220	ATTEMPTED ROBBERY
948	BIGAMY
485	BIKE - ATTEMPTED STOLEN
622	BATTERY ON A FIREFIGHTER
648	ARSON
624	BATTERY - SIMPLE ASSAULT
310	BURGLARY
320	"BURGLARY, ATTEMPTED"
761	BRANDISH WEAPON
664	"BUNCO, PETTY THEFT"
666	"BUNCO, ATTEMPT"
410	"BURGLARY FROM VEHICLE, ATTEMPTED"
860	BATTERY WITH SEXUAL CONTACT
840	"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM"
662	"BUNCO, GRAND THEFT"
942	BRIBERY
330	BURGLARY FROM VEHICLE
870	CHILD ABANDONMENT
432	BLOCKING DOOR INDUCTION CENTER
480	BIKE - STOLEN
755	BOMB SCARE
813	CHILD ANNOYING (17YRS & UNDER)
654	"CREDIT CARDS, FRAUD USE ($950 & UNDER"
944	CONSPIRACY
110	CRIMINAL HOMICIDE
649	DOCUMENT FORGERY / STOLEN FELONY
812	CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
653	"CREDIT CARDS, FRAUD USE ($950.01 & OVER)"
235	CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT
627	CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
814	CHILD PORNOGRAPHY
237	CHILD NEGLECT (SEE 300 W.I.C.)
445	DISHONEST EMPLOYEE ATTEMPTED THEFT
903	CONTEMPT OF COURT
954	CONTRIBUTING
930	CRIMINAL THREATS - NO WEAPON DISPLAYED
444	DISHONEST EMPLOYEE - PETTY THEFT
865	"DRUGS, TO A MINOR"
353	DRUNK ROLL
668	"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
886	DISTURBING THE PEACE
951	"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER"
922	CHILD STEALING
943	CRUELTY TO ANIMALS
660	COUNTERFEIT
753	DISCHARGE FIREARMS/SHOTS FIRED
652	DOCUMENT WORTHLESS ($200 & UNDER)
345	DISHONEST EMPLOYEE - GRAND THEFT
651	DOCUMENT WORTHLESS ($200.01 & OVER)
347	GRAND THEFT / INSURANCE FRAUD
890	FAILURE TO YIELD
882	INCITING A RIOT
904	FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO)
940	EXTORTION
434	FALSE IMPRISONMENT
433	DRIVING WITHOUT OWNER CONSENT (DWOC)
670	"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)"
822	HUMAN TRAFFICKING - COMMERCIAL SEX ACTS
906	FIREARMS RESTRAINING ORDER (FIREARMS RO)
920	KIDNAPPING - GRAND ATTEMPT
850	INDECENT EXPOSURE
439	FALSE POLICE REPORT
